Person,Day,Calculator-Bin1,Calculator-Bin2,Calendar-Bin1,Calendar-Bin2,Camera-Bin1,Camera-Bin2,Clock-Bin1,Clock-Bin2,Contacts-Bin1,Contacts-Bin2,Facebook-Bin1,Facebook-Bin2,Gallery-Bin1,Gallery-Bin2,Gmail-Bin1,Gmail-Bin2,Google Play Store-Bin1,Google Play Store-Bin2,Google Search-Bin1,Google Search-Bin2,Instagram-Bin1,Instagram-Bin2,Internet-Bin1,Internet-Bin2,Maps-Bin1,Maps-Bin2,Messaging-Bin1,Messaging-Bin2,Messenger-Bin1,Messenger-Bin2,Phone-Bin1,Phone-Bin2,Photos-Bin1,Photos-Bin2,Settings-Bin1,Settings-Bin2,Twitter-Bin1,Twitter-Bin2,WhatsApp-Bin1,WhatsApp-Bin2,YouTube-Bin1,YouTube-Bin2
6,Day1,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.4320904662917301,-0.27642050991354544,-0.2950402953672018,-0.10724346437223309,4.3230752155352254,-0.6630272021672844,-0.6141477178795735,-0.18890036928292148,-0.2918843639991063,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,-0.5247964544130055,-0.6767309803877868,0,0,-0.22646034606617435,-0.3099753298291767,-0.19085916955087312,0.08484048188430891,-0.5533098458775274,-0.5619304278914197,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,-0.4058700331624278,-0.3438507064004653,-0.35492806144663147,-0.3204963184941043,-0.3821831843130146
6,Day2,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.1447950841331357,-0.30607034481742385,-0.4320904662917301,-0.27642050991354544,-0.2950402953672018,0.07328475428708903,0.24170818971248553,-0.5299292781873628,-0.5055309017385385,-0.18890036928292148,-0.2918843639991063,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,-0.5247964544130055,-0.6767309803877868,0,0,-0.22646034606617435,-0.3099753298291767,0.15133479034466868,3.513423315220706,-0.492367631787294,-0.6267076687432683,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,-0.4058700331624278,-0.3438507064004653,-0.35492806144663147,-0.3204963184941043,-0.3821831843130146
6,Day3,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.4320904662917301,-0.22691235888425373,-0.2950402953672018,-0.10724346437223309,-0.3732923210279274,-0.5551478322046111,-0.9399981663026782,-0.18890036928292148,-0.2918843639991063,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,-0.5247964544130055,-0.6767309803877868,0,0,-0.22646034606617435,-0.3099753298291767,-0.19085916955087312,-0.30887237936006207,-0.3915785854072925,-0.6267076687432683,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,-0.4058700331624278,-0.3438507064004653,-0.35492806144663147,-0.3204963184941043,-0.3821831843130146
6,Day4,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.4320904662917301,-0.27642050991354544,-0.2950402953672018,-0.05615057229884004,-0.3732923210279274,-0.5131169088425306,-0.9399981663026782,-0.18890036928292148,-0.2918843639991063,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,-0.5247964544130055,-0.6767309803877868,0,0,-0.22646034606617435,-0.3099753298291767,-0.19085916955087312,-0.30887237936006207,-0.5533098458775274,-0.6267076687432683,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,-0.4058700331624278,-0.3438507064004653,-0.35492806144663147,-0.3204963184941043,-0.3821831843130146
7,Day1,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.4320904662917301,-0.27642050991354544,-0.2950402953672018,-0.10724346437223309,0.7448904257728234,-0.10681798300908546,0.20756210857869042,-0.18890036928292148,-0.2543644955257306,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.2543513315520496,0,0,-0.43256550092468854,-0.35816051887117417,0,0,-0.22646034606617435,0.021142825965227097,-0.19085916955087312,-0.30887237936006207,-0.5533098458775274,-0.6267076687432683,-0.20149652894336198,0.061649246987091844,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,-0.03132754883113962,-0.3438507064004653,0.9126538928727785,-0.3204963184941043,-0.3821831843130146
7,Day2,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.4320904662917301,-0.27642050991354544,-0.2950402953672018,-0.10383727156734023,-0.3732923210279274,0.1369613724909816,0.18394975724368284,-0.18890036928292148,-0.2918843639991063,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,-0.2615539413317675,-0.3870205606810415,0,0,-0.14205724296762842,-0.29223685719733367,-0.19085916955087312,-0.30887237936006207,-0.5533098458775274,-0.6267076687432683,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.13319158867733266,-0.39778638242146475,0.6597791099174768,0.7408703184642993,-0.3204963184941043,-0.3821831843130146
8,Day1,-0.13324338802436272,2.338661895976016,0.7935242400710169,-0.26063115143964427,-0.30607034481742385,-0.4320904662917301,-0.27642050991354544,-0.2950402953672018,-0.10724346437223309,-0.3732923210279274,0.4830159748387779,1.1780297484475022,-0.18890036928292148,-0.2918843639991063,-0.2300578738074906,-0.5529639143164395,1.9635279899265146,-0.26400283857529716,0,0,-0.5247964544130055,-0.6767309803877868,0,0,-0.22646034606617435,-0.2744983845654906,-0.19085916955087312,-0.30887237936006207,-0.5533098458775274,0.06390130227402145,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.039444217992698954,-0.35627894426406,1.1046477091055282,0.6288372616808432,-0.3438507064004653,-0.35492806144663147,-0.3204963184941043,-0.3821831843130146
8,Day2,-0.13324338802436272,-0.30690888454809906,-0.05464596459199299,-0.05791803365325428,-0.30607034481742385,-0.42346955614201603,-0.27642050991354544,-0.2950402953672018,-0.10724346437223309,-0.3732923210279274,0.02487891019210018,1.134346898477738,-0.18890036928292148,-0.2918843639991063,-0.11623613714111594,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,-0.5247964544130055,-0.6767309803877868,0,0,1.419400164355471,0.7425073796601782,-0.19085916955087312,-0.30887237936006207,-0.3775149975403156,-0.4229727983221314,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,3.3638057623733433,-0.3438507064004653,-0.35492806144663147,-0.2880111648418259,-0.3772038719011456
9,Day1,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,1.1873196898917127,1.6439917035985392,0.9472551576625231,-0.04125679252440976,-0.12083161201917211,-0.09021250034776875,0.185799052372448,5.7074597487453875,0.6644611069110872,-0.18890036928292148,0.13334081203248505,0.060187554691764796,-0.09933922491200206,-0.11510465780168799,-0.20609379643581174,0,0,2.0211621575040772,1.4722321328392585,0,0,1.0079350367500597,-0.11485213087890304,-0.19085916955087312,-0.30887237936006207,-0.48064797523147984,-0.6089461672193743,-0.03668617953528164,-0.04562386456029001,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,-0.4058700331624278,0.5992152416913941,-0.3223795947166038,-0.3204963184941043,-0.3821831843130146
9,Day2,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,3.156532834102358,-0.30607034481742385,-0.3372604546448752,-0.016502717009763895,-0.2950402953672018,-0.10724346437223309,2.254437133953837,-0.6574230790523403,0.21346519641244233,-0.18890036928292148,-0.22309793846458414,-0.2300578738074906,-0.31707907582613204,-0.18934153807769524,-0.27365434559854473,0,0,0.9893283653535312,0.2889704186346974,0,0,0.21665594520119175,0.5532970049205189,-0.19085916955087312,-0.30887237936006207,-0.5533098458775274,-0.35715076326299483,-0.20149652894336198,4.262238457052992,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.3991884521498774,-0.2688905491294645,-0.4058700331624278,-0.3438507064004653,-0.11623930542642871,-0.3204963184941043,-0.3821831843130146
