Person,Day,Calculator-Bin1,Calendar-Bin1,Camera-Bin1,Clock-Bin1,Contacts-Bin1,Facebook-Bin1,Gallery-Bin1,Gmail-Bin1,Google Play Store-Bin1,Instagram-Bin1,Maps-Bin1,Messaging-Bin1,Messenger-Bin1,Phone-Bin1,Photos-Bin1,Settings-Bin1,Twitter-Bin1,WhatsApp-Bin1,YouTube-Bin1
3,Day1,-0.3331204495113725,-0.3777018115600047,-0.1424798692669535,-0.12510722601398552,-0.45322168919821537,-0.4545985547474896,-0.3820791003866137,-0.028715012525882933,-0.4136340270592272,-0.14484882505618668,-0.2912063237047026,-0.27828607944322087,0.5397134395009178,-0.41574697683143685,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,0.6577942960360271,0.5184752239498049
3,Day2,-0.3331204495113725,-0.3777018115600047,-0.1424798692669535,-0.2619768862924172,-0.45322168919821537,-0.44777050062763346,-0.3820791003866137,0.09200446519177051,-0.3206046516921313,0.41957903832956567,-0.2912063237047026,-0.27828607944322087,-0.371277213411891,-0.02859144800178643,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.09319281787258382,-0.4342283111904515
3,Day3,-0.3331204495113725,-0.3777018115600047,-0.08129620846212497,-0.017358770050113777,-0.45322168919821537,-0.28877438326526933,-0.3820791003866137,-0.2855182651252548,-0.30731474092540334,-0.5039847841485371,-0.2912063237047026,-0.27828607944322087,-0.7086063465303812,-0.15483781609841157,0.10858913780741339,-0.39576990961299163,-0.36957021287438957,0.300787508229593,0.32211648006593535
3,Day4,-0.3331204495113725,-0.3777018115600047,-0.1424798692669535,-0.06104057652195368,-0.45322168919821537,0.0032062167171498365,-0.3820791003866137,0.2258933404786225,-0.4269239378259552,-0.44354604833466443,-0.2912063237047026,-0.27828607944322087,-0.6803272575264359,-0.2567700688579089,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,3.624163089796109,0.5793827972841534
3,Day5,-0.3331204495113725,-0.3777018115600047,-0.1424798692669535,-0.2707132475867852,-0.45322168919821537,1.6536444411166595,-0.3820791003866137,-0.24820497201252556,-0.17441563325812354,-0.11188224188498344,-0.1275106367406139,-0.27828607944322087,0.6548497304455522,-0.41574697683143685,0.09596887419159475,0.6658735450782873,-0.36957021287438957,-0.03924781937551654,1.858441837305471
4,Day1,-0.3331204495113725,-0.3777018115600047,-0.13244976093829308,-0.4046707874337609,-0.45322168919821537,-0.16066708215939723,0.6191985922588057,-0.45891533311970245,-0.4402138485926832,0.2867137182759284,-0.2912063237047026,-0.27828607944322087,-0.49449324407193834,-0.12584790935029763,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.21259916286047434,-0.4342283111904515
4,Day2,-0.3331204495113725,-0.3777018115600047,-0.1424798692669535,-0.29401021103843317,-0.40079317743380466,-0.44094244650777736,0.8396634053183476,-0.45891533311970245,-0.4269239378259552,-0.7042817515978173,-0.2912063237047026,-0.27828607944322087,-0.4934832766075117,-0.35589684677081457,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.3120034297539466,-0.4342283111904515
4,Day3,-0.3331204495113725,-0.3777018115600047,0.12231499060968144,-0.34060413794172906,-0.45322168919821537,-0.589208764538939,3.329078586115675,-0.45891533311970245,-0.4402138485926832,-0.7172685873925337,-0.2912063237047026,-0.27828607944322087,-0.7237558584967805,-0.41574697683143685,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.30836668828223424,-0.4342283111904515
4,Day4,0.9291894621410187,-0.3777018115600047,-0.045187818478947483,-0.33186777664736106,-0.40079317743380466,0.22885714810668092,0.5043731687902944,-0.45452553392996964,-0.4335688932093192,-0.009486036580488548,-0.2912063237047026,-0.27828607944322087,-0.5025729837873513,-0.2829545007594311,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,0.1644097030403779,-0.4324101746730083
4,Day5,-0.3331204495113725,-0.3777018115600047,-0.12743470677396287,-0.16296479162291344,-0.309043281846086,0.126436336308839,1.9695455722484998,-0.45891533311970245,-0.4335688932093192,-0.2097830040297688,-0.2912063237047026,-0.27828607944322087,-0.718201037442434,0.34453670659490565,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.2647257906216854,-0.4342283111904515
