Person,Day,Calculator-Bin1,Calendar-Bin1,Camera-Bin1,Clock-Bin1,Contacts-Bin1,Facebook-Bin1,Gallery-Bin1,Gmail-Bin1,Google Play Store-Bin1,Instagram-Bin1,Maps-Bin1,Messaging-Bin1,Messenger-Bin1,Phone-Bin1,Photos-Bin1,Settings-Bin1,Twitter-Bin1,WhatsApp-Bin1,YouTube-Bin1
6,Day6,-0.22212970997654927,-0.2838052302101075,-0.4985628160789108,-0.3854297824177861,0.006053736639313084,-0.8991294988135196,-0.3277954749282247,-0.3677488758798511,-0.3106770538803314,-0.738553104003879,-0.37630474038192785,-0.17026477129078404,-0.6499852591694854,-0.45339719720114285,-0.3109833714375577,-0.5344275545970626,-0.419834975338099,-0.4006966456396723,-0.47628377831450397
6,Day7,-0.22212970997654927,-0.23542336267583347,-0.4985628160789108,-0.40140614645582906,-0.00216077325474006,-0.8134740094651466,-0.3277954749282247,-0.3677488758798511,-0.3106770538803314,-0.738553104003879,-0.37630474038192785,1.2039111389558221,-0.6948358438587758,-0.45339719720114285,-0.3109833714375577,-0.5344275545970626,-0.419834975338099,-0.4006966456396723,-0.47628377831450397
7,Day6,-0.22212970997654927,-0.2838052302101075,-0.4985628160789108,-0.40140614645582906,-0.06623395042835459,0.04229143250385257,-0.2934869610563286,-0.3677488758798511,-0.2923256645018463,-0.4651414146804406,-0.09402139407329474,-0.31983493839245547,-0.7059417029246954,-0.07135791239243168,-0.3109833714375577,-0.5344275545970626,-0.18594912630200186,0.6130821374596684,-0.47628377831450397
7,Day7,-0.22212970997654927,-0.2838052302101075,-0.4985628160789108,-0.40140614645582906,-0.12866422562315846,0.16386696577251111,-0.3277954749282247,-0.3677488758798511,-0.3106770538803314,-0.4137236940017045,-0.3208562259284463,-0.31983493839245547,-0.7059417029246954,-0.45339719720114285,-0.3109833714375577,-0.5344275545970626,-0.3457991670101258,0.8112100879370004,-0.47628377831450397
8,Day6,0.85775147415284,0.40966820444782037,-0.4985628160789108,-0.40140614645582906,-0.13195002958077973,1.0235796653151679,-0.3277954749282247,-0.3677488758798511,0.230688932784978,-0.738553104003879,-0.3460600961345743,-0.31983493839245547,-0.14125148426524703,-0.45339719720114285,-0.3109833714375577,-0.3416617226032189,0.9245879986175961,-0.4006966456396723,-0.47628377831450397
8,Day7,-0.22212970997654927,-0.07415047089492002,-0.4903479366879804,-0.40140614645582906,-0.13195002958077973,0.7362193139528841,-0.3277954749282247,-0.2700365391839773,-0.3106770538803314,-0.738553104003879,1.3073137893874194,-0.31983493839245547,-0.4752815530940584,-0.45339719720114285,-0.3109833714375577,-0.5344275545970626,1.9341672030899577,-0.4006966456396723,-0.4509512923601678
9,Day6,-0.22212970997654927,0.5548138070506424,1.3497850468804253,-0.12980795780909896,-0.08266297021646087,3.6240329548408905,0.06103434895326442,0.003558003564469324,-0.2280958016771486,1.9229260568430833,0.37981136580191077,-0.31983493839245547,-0.6649354540659155,-0.03622786321461916,-0.3109833714375577,-0.5344275545970626,-0.419834975338099,-0.05939594262762607,-0.47628377831450397
9,Day7,-0.22212970997654927,1.651469471160854,-0.4081991427786766,-0.23365432405637812,0.02248275642741937,-0.26401575521198845,-0.2648965328297485,-0.30423585702753314,-0.3106770538803314,0.6146307195730187,0.5713607793684833,-0.31983493839245547,-0.48553311530875337,3.195736661144133,-0.3109833714375577,-0.4862360965986017,-0.419834975338099,-0.2097996422600532,-0.47628377831450397
10,Day6,-0.22212970997654927,-0.2838052302101075,-0.4985628160789108,-0.40140614645582906,-0.13195002958077973,-1.038467691163638,-0.3277954749282247,0.18921144328662953,-0.2556228857448762,-0.738553104003879,-0.37630474038192785,-0.31983493839245547,-0.7059417029246954,-0.45339719720114285,-0.3109833714375577,-0.5344275545970626,-0.419834975338099,-0.3573109630533952,4.133215365936506
10,Day7,-0.22212970997654927,-0.10640504925110271,-0.42462890156053734,-0.17773704992322778,-0.13195002958077973,-1.038467691163638,-0.3277954749282247,-0.3677488758798511,-0.3106770538803314,-0.738553104003879,-0.37630474038192785,-0.31983493839245547,-0.7059417029246954,-0.45339719720114285,-0.3109833714375577,-0.5344275545970626,-0.419834975338099,0.27178143444762215,0.17729435930736928
