User,Day,Calculator-Bin1,Calendar-Bin1,Camera-Bin1,Clock-Bin1,Contacts-Bin1,Facebook-Bin1,Gallery-Bin1,Gmail-Bin1,Google Play Store-Bin1,Google Search-Bin1,Instagram-Bin1,Internet-Bin1,Maps-Bin1,Messaging-Bin1,Messenger-Bin1,Phone-Bin1,Photos-Bin1,Settings-Bin1,Twitter-Bin1,WhatsApp-Bin1,YouTube-Bin1
7,Day7,-0.21735523715770838,-0.28768489111739254,-0.5055117087892413,-0.3938393379219722,-0.12662319528286442,0.20302599561157217,-0.3149099647550243,-0.3577803010943016,-0.30872427793143714,0,-0.38852632510301627,0,-0.3228384184472828,-0.3151877170887094,-0.6970573235874012,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,-0.3259995127816113,0.7878924529658451,-0.4626134319041265
8,Day3,0.9009117861402968,0.42392148975811006,-0.5055117087892413,-0.3938393379219722,-0.13003056041822827,1.0749710066811338,-0.3149099647550243,-0.3577803010943016,0.23573783179003763,0,-0.7074977436492731,0,-0.3485057838715367,-0.3151877170887094,-0.14584850953326553,-0.43623573363877355,-0.32970839962926346,-0.3116691416233097,0.9841157398051696,-0.38645104935988467,-0.4626134319041265
8,Day4,-0.21735523715770838,-0.07254807829456617,-0.49713165869377335,-0.3938393379219722,-0.13003056041822827,0.7835219855339157,-0.3149099647550243,-0.2568535314452466,-0.30872427793143714,0,-0.7074977436492731,0,1.335273387959521,-0.3151877170887094,-0.4719039502218693,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,2.0252669339138696,-0.38645104935988467,-0.4367583094228079
9,Day3,-0.21735523715770838,0.572862360173913,1.3799995626910584,-0.11333506127250999,-0.07892008338777062,3.7124245112386505,0.08705702097323198,0.025741423572107482,-0.22567073577053423,0,1.9059841555450567,0,0.39071434034697655,-0.3151877170887094,-0.6570300572113067,-0.056347115595008254,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,-0.05572901290538319,-0.4626134319041265
9,Day4,-0.21735523715770838,1.6981933810933123,-0.41333115773909335,-0.22058669646201023,0.030115600943872358,-0.23094479961313158,-0.24988589353427698,-0.29217790082241585,-0.30872427793143714,0,0.6212826883851333,0,0.5857863175713064,-0.3151877170887094,-0.48191076681589295,2.8867899673545834,-0.32970839962926346,-0.4194290194604727,-0.40235060034958264,-0.2014709272751635,-0.4626134319041265
10,Day6,-0.21735523715770838,-0.28768489111739254,-0.5055117087892413,-0.3938393379219722,-0.13003056041822827,-1.0164159252873648,-0.3149099647550243,0.21750228590531204,-0.2533552498241685,0,-0.7074977436492731,0,-0.37930662238064144,-0.3151877170887094,-0.6970573235874012,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,-0.344410112522448,4.241984654796607
10,Day7,-0.21735523715770838,-0.1056460494980779,-0.4300912579300294,-0.16283581597535626,-0.13003056041822827,-1.0164159252873648,-0.3149099647550243,-0.3577803010943016,-0.30872427793143714,0,-0.7074977436492731,0,-0.37930662238064144,-0.3151877170887094,-0.6970573235874012,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,0.2651834716203831,0.20444872811389353
11,Day4,1.476988737536239,-0.28768489111739254,-0.5055117087892413,-0.2865877027324719,-0.13003056041822827,0.897219131146292,-0.3149099647550243,-0.3577803010943016,-0.30872427793143714,0,-0.7074977436492731,0,-0.37930662238064144,3.106093600937834,0.10598970808299618,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,6.035434283222546,-0.38645104935988467,3.609051256453928
11,Day5,-0.21735523715770838,-0.28768489111739254,-0.47199150840736936,-0.3690889605705491,-0.13003056041822827,0.38718334413866046,-0.3149099647550243,-0.18620479269090806,-0.30872427793143714,0,-0.7074977436492731,0,-0.37930662238064144,3.9239546459405297,4.264655904282655,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,1.6348352361231073,-0.38645104935988467,3.7714214256366083
12,Day3,-0.21735523715770838,-0.28768489111739254,-0.5055117087892413,-0.29483782851627965,-0.031216971492676816,-0.8266537878920607,-0.3149099647550243,-0.3174095932346796,-0.30872427793143714,0,1.6158644230984616,0,-0.37930662238064144,-0.3151877170887094,-0.45605982394799854,-0.3642568375883759,-0.32970839962926346,1.214929127736499,-0.40235060034958264,-0.38645104935988467,-0.46054502210562104
